Gene	sgRNA	eff
SMARCE1	sgRNA017779	1
SMARCE1	sgRNA017778	1
SPARC	sgRNA018046	1
SPARC	sgRNA018045	1
SPARC	sgRNA018048	1
SPARC	sgRNA018047	1
TLR1	sgRNA019275	1
TLR1	sgRNA019273	1
TLR1	sgRNA019274	1
TLR1	sgRNA019276	1
ZFY	sgRNA020439	1
ZFY	sgRNA020440	1
ZFY	sgRNA020438	1
ZFY	sgRNA020437	1
SLC39A7	sgRNA021090	1
SLC39A7	sgRNA021089	1
SLC39A7	sgRNA021092	1
SLC39A7	sgRNA021091	1
EPM2A	sgRNA021118	1
EPM2A	sgRNA021117	1
EPM2A	sgRNA021119	1
EPM2A	sgRNA021120	1
TCL1A	sgRNA021311	1
TCL1A	sgRNA021310	1
TCL1A	sgRNA021309	1
TCL1A	sgRNA021312	1
OR1E1	sgRNA021802	1
OR1E1	sgRNA021801	1
OR1E1	sgRNA021803	1
OR1E1	sgRNA021804	1
MYH13	sgRNA022832	1
MYH13	sgRNA022830	1
MYH13	sgRNA022829	1
MYH13	sgRNA022831	1
RIPK2	sgRNA022920	1
RIPK2	sgRNA022917	1
RIPK2	sgRNA022919	1
RIPK2	sgRNA022918	1
CD84	sgRNA023130	1
CD84	sgRNA023131	1
CD84	sgRNA023129	1
CD84	sgRNA023132	1
TAX1BP1	sgRNA023305	1
TAX1BP1	sgRNA023307	1
TAX1BP1	sgRNA023308	1
TAX1BP1	sgRNA023306	1
TBX18	sgRNA023851	1
TBX18	sgRNA023849	1
TBX18	sgRNA023852	1
TBX18	sgRNA023850	1
LPAR2	sgRNA024083	1
LPAR2	sgRNA024082	1
LPAR2	sgRNA024084	1
LPAR2	sgRNA024081	1
ZMYM4	sgRNA024165	1
ZMYM4	sgRNA024168	1
ZMYM4	sgRNA024167	1
ZMYM4	sgRNA024166	1
SRSF11	sgRNA024421	1
SRSF11	sgRNA024424	1
SRSF11	sgRNA024423	1
SRSF11	sgRNA024422	1
MED21	sgRNA024760	1
MED21	sgRNA024757	1
MED21	sgRNA024759	1
MED21	sgRNA024758	1
CHST3	sgRNA024931	1
CHST3	sgRNA024929	1
CHST3	sgRNA024932	1
CHST3	sgRNA024930	1
MAPK8IP1	sgRNA024963	1
MAPK8IP1	sgRNA024964	1
MAPK8IP1	sgRNA024961	1
MAPK8IP1	sgRNA024962	1
SLC25A27	sgRNA024969	1
SLC25A27	sgRNA024970	1
SLC25A27	sgRNA024971	1
SLC25A27	sgRNA024972	1
MTL5	sgRNA025427	1
MTL5	sgRNA025428	1
MTL5	sgRNA025426	1
MTL5	sgRNA025425	1
TMEM63A	sgRNA025752	1
TMEM63A	sgRNA025751	1
TMEM63A	sgRNA025749	1
TMEM63A	sgRNA025750	1
KNTC1	sgRNA025791	1
KNTC1	sgRNA025789	1
KNTC1	sgRNA025792	1
KNTC1	sgRNA025790	1
LZTS3	sgRNA025890	1
LZTS3	sgRNA025891	1
LZTS3	sgRNA025889	1
LZTS3	sgRNA025892	1
SEC24D	sgRNA026259	1
SEC24D	sgRNA026257	1
SEC24D	sgRNA026260	1
SEC24D	sgRNA026258	1
GJC1	sgRNA026844	1
GJC1	sgRNA026842	1
GJC1	sgRNA026843	1
GJC1	sgRNA026841	1
ABCC4	sgRNA027543	1
ABCC4	sgRNA027544	1
ABCC4	sgRNA027541	1
ABCC4	sgRNA027542	1
TNIP1	sgRNA027735	1
TNIP1	sgRNA027736	1
TNIP1	sgRNA027734	1
TNIP1	sgRNA027733	1
BPNT1	sgRNA027890	1
BPNT1	sgRNA027891	1
BPNT1	sgRNA027892	1
BPNT1	sgRNA027889	1
ST3GAL6	sgRNA027969	1
ST3GAL6	sgRNA027971	1
ST3GAL6	sgRNA027972	1
ST3GAL6	sgRNA027970	1
LYPLA1	sgRNA028066	1
LYPLA1	sgRNA028065	1
LYPLA1	sgRNA028067	1
LYPLA1	sgRNA028068	1
PDPN	sgRNA028732	1
PDPN	sgRNA028731	1
PDPN	sgRNA028729	1
PDPN	sgRNA028730	1
IGF2BP1	sgRNA028771	1
IGF2BP1	sgRNA028772	1
IGF2BP1	sgRNA028773	1
IGF2BP1	sgRNA028774	1
IQGAP2	sgRNA029174	1
IQGAP2	sgRNA029172	1
IQGAP2	sgRNA029173	1
IQGAP2	sgRNA029171	1
NOXA1	sgRNA029246	1
NOXA1	sgRNA029245	1
NOXA1	sgRNA029244	1
NOXA1	sgRNA029243	1
ADNP2	sgRNA030995	1
ADNP2	sgRNA030996	1
ADNP2	sgRNA030998	1
ADNP2	sgRNA030997	1
RPH3A	sgRNA031147	1
RPH3A	sgRNA031149	1
RPH3A	sgRNA031150	1
RPH3A	sgRNA031148	1
TRIM32	sgRNA031328	1
TRIM32	sgRNA031329	1
TRIM32	sgRNA031327	1
TRIM32	sgRNA031330	1
CAND2	sgRNA031629	1
CAND2	sgRNA031630	1
CAND2	sgRNA031627	1
CAND2	sgRNA031628	1
ATMIN	sgRNA032376	1
ATMIN	sgRNA032375	1
ATMIN	sgRNA032377	1
ATMIN	sgRNA032378	1
ICOSLG	sgRNA032409	1
ICOSLG	sgRNA032410	1
ICOSLG	sgRNA032407	1
ICOSLG	sgRNA032408	1
CLASP1	sgRNA032484	1
CLASP1	sgRNA032485	1
CLASP1	sgRNA032483	1
CLASP1	sgRNA032486	1
ARHGEF12	sgRNA032588	1
ARHGEF12	sgRNA032589	1
ARHGEF12	sgRNA032587	1
ARHGEF12	sgRNA032590	1
ZDHHC17	sgRNA032667	1
ZDHHC17	sgRNA032668	1
ZDHHC17	sgRNA032670	1
ZDHHC17	sgRNA032669	1
LDOC1	sgRNA033394	1
LDOC1	sgRNA033392	1
LDOC1	sgRNA033391	1
LDOC1	sgRNA033393	1
PISD	sgRNA033533	1
PISD	sgRNA033534	1
PISD	sgRNA033532	1
PISD	sgRNA033531	1
CLDN15	sgRNA033624	1
CLDN15	sgRNA033623	1
CLDN15	sgRNA033626	1
CLDN15	sgRNA033625	1
KLK5	sgRNA033798	1
KLK5	sgRNA033796	1
KLK5	sgRNA033795	1
KLK5	sgRNA033797	1
LRRTM2	sgRNA034433	1
LRRTM2	sgRNA034431	1
LRRTM2	sgRNA034434	1
LRRTM2	sgRNA034432	1
CNTNAP2	sgRNA034440	1
CNTNAP2	sgRNA034439	1
CNTNAP2	sgRNA034441	1
CNTNAP2	sgRNA034442	1
PRPF31	sgRNA034603	1
PRPF31	sgRNA034605	1
PRPF31	sgRNA034604	1
PRPF31	sgRNA034606	1
TES	sgRNA034637	1
TES	sgRNA034635	1
TES	sgRNA034636	1
TES	sgRNA034638	1
PTPN18	sgRNA035025	1
PTPN18	sgRNA035024	1
PTPN18	sgRNA035023	1
PTPN18	sgRNA035026	1
OSTF1	sgRNA035188	1
OSTF1	sgRNA035187	1
OSTF1	sgRNA035189	1
OSTF1	sgRNA035190	1
OR7C2	sgRNA035231	1
OR7C2	sgRNA035234	1
OR7C2	sgRNA035233	1
OR7C2	sgRNA035232	1
NSG1	sgRNA035483	1
NSG1	sgRNA035484	1
NSG1	sgRNA035486	1
NSG1	sgRNA035485	1
DISC1	sgRNA035772	1
DISC1	sgRNA035773	1
DISC1	sgRNA035771	1
DISC1	sgRNA035774	1
NMRK2	sgRNA035811	1
NMRK2	sgRNA035814	1
NMRK2	sgRNA035812	1
NMRK2	sgRNA035813	1
RBMX	sgRNA036012	1
RBMX	sgRNA036011	1
RBMX	sgRNA036014	1
RBMX	sgRNA036013	1
STK39	sgRNA036097	1
STK39	sgRNA036096	1
STK39	sgRNA036095	1
STK39	sgRNA036098	1
MRPS18B	sgRNA036265	1
MRPS18B	sgRNA036263	1
MRPS18B	sgRNA036266	1
MRPS18B	sgRNA036264	1
PURG	sgRNA036847	1
PURG	sgRNA036850	1
PURG	sgRNA036848	1
PURG	sgRNA036849	1
