Gene	sgRNA	eff
IQCA1	sgRNA049921	1
IQCA1	sgRNA049922	1
IQCA1	sgRNA049919	1
IQCA1	sgRNA049920	1
VCPIP1	sgRNA050732	1
VCPIP1	sgRNA050733	1
VCPIP1	sgRNA050734	1
VCPIP1	sgRNA050731	1
BPY2	sgRNA023806	1
BPY2	sgRNA023807	1
BPY2	sgRNA023805	1
BPY2	sgRNA023808	1
SLC35B4	sgRNA054458	1
SLC35B4	sgRNA054455	1
SLC35B4	sgRNA054456	1
SLC35B4	sgRNA054457	1
ARPIN	sgRNA069917	1
ARPIN	sgRNA069918	1
ARPIN	sgRNA069919	1
ARPIN	sgRNA069920	1
EXOSC7	sgRNA031470	1
EXOSC7	sgRNA031467	1
EXOSC7	sgRNA031469	1
EXOSC7	sgRNA031468	1
PKP1	sgRNA014062	1
PKP1	sgRNA014061	1
PKP1	sgRNA014064	1
PKP1	sgRNA014063	1
FAM71F2	sgRNA069762	1
FAM71F2	sgRNA069763	1
FAM71F2	sgRNA069761	1
FAM71F2	sgRNA069764	1
PNMA6A	sgRNA054644	1
PNMA6A	sgRNA054646	1
PNMA6A	sgRNA054643	1
PNMA6A	sgRNA054645	1
GAK	sgRNA006816	1
GAK	sgRNA006813	1
GAK	sgRNA006815	1
GAK	sgRNA006814	1
UGDH	sgRNA019946	1
UGDH	sgRNA019947	1
UGDH	sgRNA019948	1
UGDH	sgRNA019945	1
KDELR2	sgRNA029848	1
KDELR2	sgRNA029850	1
KDELR2	sgRNA029849	1
KDELR2	sgRNA029847	1
EPDR1	sgRNA040481	1
EPDR1	sgRNA040482	1
EPDR1	sgRNA040479	1
EPDR1	sgRNA040480	1
CD52	sgRNA002977	1
CD52	sgRNA002979	1
CD52	sgRNA002980	1
CD52	sgRNA002978	1
PBRM1	sgRNA041877	1
PBRM1	sgRNA041876	1
PBRM1	sgRNA041875	1
PBRM1	sgRNA041878	1
LIMS3	sgRNA056765	1
LIMS3	sgRNA056766	1
LIMS3	sgRNA056767	1
LIMS3	sgRNA056768	1
CDC123	sgRNA023256	1
CDC123	sgRNA023253	1
CDC123	sgRNA023255	1
CDC123	sgRNA023254	1
CCRN4L	sgRNA033801	1
CCRN4L	sgRNA033799	1
CCRN4L	sgRNA033802	1
CCRN4L	sgRNA033800	1
FITM1	sgRNA063408	1
FITM1	sgRNA063407	1
FITM1	sgRNA063405	1
FITM1	sgRNA063406	1
RNASE12	sgRNA073405	1
RNASE12	sgRNA073407	1
RNASE12	sgRNA073408	1
RNASE12	sgRNA073406	1
SYF2	sgRNA034176	1
SYF2	sgRNA034178	1
SYF2	sgRNA034175	1
SYF2	sgRNA034177	1
RNF25	sgRNA047621	1
RNF25	sgRNA047619	1
RNF25	sgRNA047622	1
RNF25	sgRNA047620	1
AMDHD2	sgRNA037505	1
AMDHD2	sgRNA037503	1
AMDHD2	sgRNA037504	1
AMDHD2	sgRNA037506	1
PLA2G2D	sgRNA034933	1
PLA2G2D	sgRNA034932	1
PLA2G2D	sgRNA034934	1
PLA2G2D	sgRNA034931	1
CCDC109B	sgRNA041320	1
CCDC109B	sgRNA041319	1
CCDC109B	sgRNA041322	1
CCDC109B	sgRNA041321	1
DUOX2	sgRNA037216	1
DUOX2	sgRNA037217	1
DUOX2	sgRNA037215	1
DUOX2	sgRNA037218	1
CD48	sgRNA002715	1
CD48	sgRNA002716	1
CD48	sgRNA002714	1
CD48	sgRNA002713	1
TEKT5	sgRNA061560	1
TEKT5	sgRNA061557	1
TEKT5	sgRNA061559	1
TEKT5	sgRNA061558	1
TOR1B	sgRNA036100	1
TOR1B	sgRNA036101	1
TOR1B	sgRNA036102	1
TOR1B	sgRNA036099	1
C1orf109	sgRNA041120	1
C1orf109	sgRNA041119	1
C1orf109	sgRNA041121	1
C1orf109	sgRNA041122	1
NUP35	sgRNA059687	1
NUP35	sgRNA059685	1
NUP35	sgRNA059688	1
NUP35	sgRNA059686	1
POLR3A	sgRNA030199	1
POLR3A	sgRNA030202	1
POLR3A	sgRNA030200	1
POLR3A	sgRNA030201	1
DIDO1	sgRNA030074	1
DIDO1	sgRNA030072	1
DIDO1	sgRNA030071	1
DIDO1	sgRNA030073	1
GATS	sgRNA070034	1
GATS	sgRNA070036	1
GATS	sgRNA070033	1
GATS	sgRNA070035	1
TOB1	sgRNA027138	1
TOB1	sgRNA027139	1
TOB1	sgRNA027140	1
TOB1	sgRNA027137	1
RAB20	sgRNA042909	1
RAB20	sgRNA042908	1
RAB20	sgRNA042910	1
RAB20	sgRNA042907	1
NLRP12	sgRNA055940	1
NLRP12	sgRNA055938	1
NLRP12	sgRNA055937	1
NLRP12	sgRNA055939	1
COX4I1	sgRNA003701	1
COX4I1	sgRNA003703	1
COX4I1	sgRNA003704	1
COX4I1	sgRNA003702	1
EIF2B5	sgRNA023325	1
EIF2B5	sgRNA023327	1
EIF2B5	sgRNA023328	1
EIF2B5	sgRNA023326	1
DMWD	sgRNA004875	1
DMWD	sgRNA004873	1
DMWD	sgRNA004874	1
DMWD	sgRNA004876	1
POLR3B	sgRNA043088	1
POLR3B	sgRNA043090	1
POLR3B	sgRNA043089	1
POLR3B	sgRNA043087	1
PAOX	sgRNA064463	1
PAOX	sgRNA064464	1
PAOX	sgRNA064462	1
PAOX	sgRNA064461	1
DDX17	sgRNA028358	1
DDX17	sgRNA028360	1
DDX17	sgRNA028357	1
DDX17	sgRNA028359	1
TSGA13	sgRNA057373	1
TSGA13	sgRNA057374	1
TSGA13	sgRNA057376	1
TSGA13	sgRNA057375	1
SPATA33	sgRNA058689	1
SPATA33	sgRNA058690	1
SPATA33	sgRNA058692	1
SPATA33	sgRNA058691	1
EIF4EBP2	sgRNA005453	1
EIF4EBP2	sgRNA005455	1
EIF4EBP2	sgRNA005456	1
EIF4EBP2	sgRNA005454	1
HESX1	sgRNA023090	1
HESX1	sgRNA023091	1
HESX1	sgRNA023092	1
HESX1	sgRNA023089	1
VPS51	sgRNA002043	1
VPS51	sgRNA002042	1
VPS51	sgRNA002044	1
VPS51	sgRNA002041	1
ZPR1	sgRNA023291	1
ZPR1	sgRNA023292	1
ZPR1	sgRNA023290	1
ZPR1	sgRNA023289	1
SCN8A	sgRNA016911	1
SCN8A	sgRNA016910	1
SCN8A	sgRNA016909	1
SCN8A	sgRNA016912	1
KRTAP10-9	sgRNA070665	1
KRTAP10-9	sgRNA070668	1
KRTAP10-9	sgRNA070667	1
KRTAP10-9	sgRNA070666	1
HMHB1	sgRNA046445	1
HMHB1	sgRNA046443	1
HMHB1	sgRNA046446	1
HMHB1	sgRNA046444	1
ALDH4A1	sgRNA022591	1
ALDH4A1	sgRNA022590	1
ALDH4A1	sgRNA022592	1
ALDH4A1	sgRNA022589	1
SUPT20H	sgRNA042704	1
SUPT20H	sgRNA042706	1
SUPT20H	sgRNA042703	1
SUPT20H	sgRNA042705	1
NMNAT1	sgRNA048107	1
NMNAT1	sgRNA048108	1
NMNAT1	sgRNA048109	1
NMNAT1	sgRNA048110	1
PPP1CB	sgRNA014567	1
PPP1CB	sgRNA014565	1
PPP1CB	sgRNA014566	1
PPP1CB	sgRNA014568	1
ATE1	sgRNA030126	1
ATE1	sgRNA030124	1
ATE1	sgRNA030123	1
ATE1	sgRNA030125	1
LSM5	sgRNA033435	1
LSM5	sgRNA033437	1
LSM5	sgRNA033438	1
LSM5	sgRNA033436	1
CD302	sgRNA026490	1
CD302	sgRNA026491	1
CD302	sgRNA026492	1
CD302	sgRNA026489	1
PDGFA	sgRNA013568	1
PDGFA	sgRNA013567	1
PDGFA	sgRNA013565	1
PDGFA	sgRNA013566	1
DMRTA1	sgRNA047219	1
DMRTA1	sgRNA047221	1
DMRTA1	sgRNA047222	1
DMRTA1	sgRNA047220	1
PROP1	sgRNA014994	1
PROP1	sgRNA014993	1
PROP1	sgRNA014996	1
PROP1	sgRNA014995	1
NKAIN1	sgRNA049279	1
NKAIN1	sgRNA049280	1
NKAIN1	sgRNA049281	1
NKAIN1	sgRNA049282	1
NT5C3A	sgRNA038250	1
NT5C3A	sgRNA038247	1
NT5C3A	sgRNA038248	1
NT5C3A	sgRNA038249	1
DEFB112	sgRNA066139	1
DEFB112	sgRNA066137	1
DEFB112	sgRNA066138	1
DEFB112	sgRNA066140	1
ZNF862	sgRNA073813	1
ZNF862	sgRNA073810	1
ZNF862	sgRNA073812	1
ZNF862	sgRNA073811	1
CBFA2T2	sgRNA023990	1
CBFA2T2	sgRNA023991	1
CBFA2T2	sgRNA023992	1
CBFA2T2	sgRNA023989	1
PCSK1N	sgRNA036083	1
PCSK1N	sgRNA036084	1
PCSK1N	sgRNA036085	1
PCSK1N	sgRNA036086	1
HES1	sgRNA008863	1
HES1	sgRNA008864	1
HES1	sgRNA008862	1
HES1	sgRNA008861	1
CACNA1A	sgRNA002139	1
CACNA1A	sgRNA002137	1
CACNA1A	sgRNA002140	1
CACNA1A	sgRNA002138	1
CHKB	sgRNA003174	1
CHKB	sgRNA003173	1
CHKB	sgRNA003176	1
CHKB	sgRNA003175	1
ESCO1	sgRNA057230	1
ESCO1	sgRNA057229	1
ESCO1	sgRNA057232	1
ESCO1	sgRNA057231	1
DAP3	sgRNA020957	1
DAP3	sgRNA020958	1
DAP3	sgRNA020960	1
DAP3	sgRNA020959	1
FAM170A	sgRNA069085	1
FAM170A	sgRNA069087	1
FAM170A	sgRNA069088	1
FAM170A	sgRNA069086	1
ADD1	sgRNA000318	1
ADD1	sgRNA000319	1
ADD1	sgRNA000320	1
ADD1	sgRNA000317	1
MATN4	sgRNA022964	1
MATN4	sgRNA022963	1
MATN4	sgRNA022961	1
MATN4	sgRNA022962	1
OR4N2	sgRNA071771	1
OR4N2	sgRNA071772	1
OR4N2	sgRNA071769	1
OR4N2	sgRNA071770	1
KCNE4	sgRNA033477	1
KCNE4	sgRNA033476	1
KCNE4	sgRNA033478	1
KCNE4	sgRNA033475	1
CACNA1H	sgRNA023392	1
CACNA1H	sgRNA023390	1
CACNA1H	sgRNA023391	1
CACNA1H	sgRNA023389	1
HRH1	sgRNA008838	1
HRH1	sgRNA008837	1
HRH1	sgRNA008839	1
HRH1	sgRNA008840	1
LOC388780	sgRNA071190	1
LOC388780	sgRNA071192	1
LOC388780	sgRNA071191	1
LOC388780	sgRNA071189	1
DGAT1	sgRNA022708	1
DGAT1	sgRNA022706	1
DGAT1	sgRNA022707	1
DGAT1	sgRNA022705	1
P2RX3	sgRNA013177	1
P2RX3	sgRNA013179	1
P2RX3	sgRNA013178	1
P2RX3	sgRNA013180	1
CCT6B	sgRNA028931	1
CCT6B	sgRNA028933	1
CCT6B	sgRNA028934	1
CCT6B	sgRNA028932	1
ZNF598	sgRNA055647	1
ZNF598	sgRNA055649	1
ZNF598	sgRNA055648	1
ZNF598	sgRNA055650	1
DAZAP1	sgRNA035137	1
DAZAP1	sgRNA035135	1
DAZAP1	sgRNA035138	1
DAZAP1	sgRNA035136	1
ZNF331	sgRNA042495	1
ZNF331	sgRNA042498	1
ZNF331	sgRNA042496	1
ZNF331	sgRNA042497	1
GRAP2	sgRNA024725	1
GRAP2	sgRNA024728	1
GRAP2	sgRNA024726	1
GRAP2	sgRNA024727	1
GORASP2	sgRNA034317	1
GORASP2	sgRNA034316	1
GORASP2	sgRNA034318	1
GORASP2	sgRNA034315	1
DDX19A	sgRNA042273	1
DDX19A	sgRNA042274	1
DDX19A	sgRNA042272	1
DDX19A	sgRNA042271	1
CFAP53	sgRNA065573	1
CFAP53	sgRNA065575	1
CFAP53	sgRNA065574	1
CFAP53	sgRNA065576	1
CPEB3	sgRNA030991	1
CPEB3	sgRNA030994	1
CPEB3	sgRNA030992	1
CPEB3	sgRNA030993	1
NAPB	sgRNA047118	1
NAPB	sgRNA047117	1
NAPB	sgRNA047116	1
NAPB	sgRNA047115	1
CEACAM21	sgRNA055377	1
CEACAM21	sgRNA055376	1
CEACAM21	sgRNA055378	1
CEACAM21	sgRNA055375	1
NMD3	sgRNA037681	1
NMD3	sgRNA037679	1
NMD3	sgRNA037680	1
NMD3	sgRNA037682	1
ARHGAP6	sgRNA001140	1
ARHGAP6	sgRNA001138	1
ARHGAP6	sgRNA001137	1
ARHGAP6	sgRNA001139	1
KIAA1191	sgRNA045211	1
KIAA1191	sgRNA045214	1
KIAA1191	sgRNA045212	1
KIAA1191	sgRNA045213	1
NOP14	sgRNA022405	1
NOP14	sgRNA022407	1
NOP14	sgRNA022406	1
NOP14	sgRNA022408	1
CTSO	sgRNA004271	1
CTSO	sgRNA004272	1
CTSO	sgRNA004269	1
CTSO	sgRNA004270	1
PCDHGC3	sgRNA013398	1
PCDHGC3	sgRNA013399	1
PCDHGC3	sgRNA013397	1
PCDHGC3	sgRNA013400	1
OLAH	sgRNA042259	1
OLAH	sgRNA042260	1
OLAH	sgRNA042261	1
OLAH	sgRNA042262	1
CATSPER2	sgRNA057902	1
CATSPER2	sgRNA057904	1
CATSPER2	sgRNA057901	1
CATSPER2	sgRNA057903	1
MOGAT3	sgRNA069757	1
MOGAT3	sgRNA069758	1
MOGAT3	sgRNA069759	1
MOGAT3	sgRNA069760	1
ATP6V1B2	sgRNA001459	1
ATP6V1B2	sgRNA001460	1
ATP6V1B2	sgRNA001458	1
ATP6V1B2	sgRNA001457	1
MAGEC1	sgRNA026529	1
MAGEC1	sgRNA026532	1
MAGEC1	sgRNA026531	1
MAGEC1	sgRNA026530	1
C6	sgRNA002015	1
C6	sgRNA002014	1
C6	sgRNA002016	1
C6	sgRNA002013	1
GJA3	sgRNA007147	1
GJA3	sgRNA007148	1
GJA3	sgRNA007146	1
GJA3	sgRNA007145	1
LOC283710	sgRNA067476	1
LOC283710	sgRNA067475	1
LOC283710	sgRNA067474	1
LOC283710	sgRNA067473	1
PANO1	sgRNA076341	1
PANO1	sgRNA076338	1
PANO1	sgRNA076340	1
PANO1	sgRNA076339	1
PAPOLB	sgRNA044526	1
PAPOLB	sgRNA044525	1
PAPOLB	sgRNA044524	1
PAPOLB	sgRNA044523	1
CHD4	sgRNA003134	1
CHD4	sgRNA003135	1
CHD4	sgRNA003133	1
CHD4	sgRNA003136	1
PTPRO	sgRNA015516	1
PTPRO	sgRNA015513	1
PTPRO	sgRNA015515	1
PTPRO	sgRNA015514	1
EFCAB7	sgRNA053645	1
EFCAB7	sgRNA053643	1
EFCAB7	sgRNA053644	1
EFCAB7	sgRNA053646	1
SCML4	sgRNA066763	1
SCML4	sgRNA066762	1
SCML4	sgRNA066764	1
SCML4	sgRNA066761	1
SEC23IP	sgRNA030446	1
SEC23IP	sgRNA030444	1
SEC23IP	sgRNA030443	1
SEC23IP	sgRNA030445	1
CHST8	sgRNA047679	1
CHST8	sgRNA047682	1
CHST8	sgRNA047681	1
CHST8	sgRNA047680	1
MIPEP	sgRNA011504	1
MIPEP	sgRNA011503	1
MIPEP	sgRNA011502	1
MIPEP	sgRNA011501	1
RAB6B	sgRNA039033	1
RAB6B	sgRNA039032	1
RAB6B	sgRNA039034	1
RAB6B	sgRNA039031	1
ZDHHC24	sgRNA066462	1
ZDHHC24	sgRNA066463	1
ZDHHC24	sgRNA066461	1
ZDHHC24	sgRNA066464	1
BMP3	sgRNA001780	1
BMP3	sgRNA001778	1
BMP3	sgRNA001779	1
BMP3	sgRNA001777	1
OR10T2	sgRNA059515	1
OR10T2	sgRNA059514	1
OR10T2	sgRNA059513	1
OR10T2	sgRNA059516	1
TBC1D3H	sgRNA075000	1
TBC1D3H	sgRNA075003	1
TBC1D3H	sgRNA075001	1
TBC1D3H	sgRNA075002	1
CBR3	sgRNA002446	1
CBR3	sgRNA002448	1
CBR3	sgRNA002447	1
CBR3	sgRNA002445	1
NDUFB7	sgRNA012338	1
NDUFB7	sgRNA012340	1
NDUFB7	sgRNA012339	1
NDUFB7	sgRNA012337	1
LRIG1	sgRNA034357	1
LRIG1	sgRNA034356	1
LRIG1	sgRNA034355	1
LRIG1	sgRNA034358	1
DGAT2	sgRNA053933	1
DGAT2	sgRNA053931	1
DGAT2	sgRNA053934	1
DGAT2	sgRNA053932	1
PDE4A	sgRNA013514	1
PDE4A	sgRNA013515	1
PDE4A	sgRNA013516	1
PDE4A	sgRNA013513	1
GPAA1	sgRNA022827	1
GPAA1	sgRNA022825	1
GPAA1	sgRNA022826	1
GPAA1	sgRNA022828	1
ANGPTL1	sgRNA023754	1
ANGPTL1	sgRNA023755	1
ANGPTL1	sgRNA023756	1
ANGPTL1	sgRNA023753	1
ILF2	sgRNA009552	1
ILF2	sgRNA009551	1
ILF2	sgRNA009549	1
ILF2	sgRNA009550	1
WBSCR22	sgRNA057088	1
WBSCR22	sgRNA057086	1
WBSCR22	sgRNA057087	1
WBSCR22	sgRNA057085	1
CX3CL1	sgRNA017058	1
CX3CL1	sgRNA017059	1
CX3CL1	sgRNA017060	1
CX3CL1	sgRNA017057	1
EFCAB3	sgRNA061657	1
EFCAB3	sgRNA061660	1
EFCAB3	sgRNA061658	1
EFCAB3	sgRNA061659	1
FAM219A	sgRNA065077	1
FAM219A	sgRNA065080	1
FAM219A	sgRNA065078	1
FAM219A	sgRNA065079	1
NUBPL	sgRNA050961	1
NUBPL	sgRNA050960	1
NUBPL	sgRNA050959	1
NUBPL	sgRNA050962	1
RQCD1	sgRNA023940	1
RQCD1	sgRNA023937	1
RQCD1	sgRNA023938	1
RQCD1	sgRNA023939	1
TXNRD1	sgRNA019777	1
TXNRD1	sgRNA019780	1
TXNRD1	sgRNA019778	1
TXNRD1	sgRNA019779	1
ANKRD54	sgRNA059671	1
ANKRD54	sgRNA059672	1
ANKRD54	sgRNA059669	1
ANKRD54	sgRNA059670	1
AIF1L	sgRNA052204	1
AIF1L	sgRNA052203	1
AIF1L	sgRNA052206	1
AIF1L	sgRNA052205	1
KLRK1	sgRNA031213	1
KLRK1	sgRNA031211	1
KLRK1	sgRNA031212	1
KLRK1	sgRNA031214	1
SLC6A16	sgRNA036246	1
SLC6A16	sgRNA036244	1
SLC6A16	sgRNA036245	1
SLC6A16	sgRNA036243	1
AURKAIP1	sgRNA041273	1
AURKAIP1	sgRNA041274	1
AURKAIP1	sgRNA041271	1
AURKAIP1	sgRNA041272	1
STAM2	sgRNA027533	1
STAM2	sgRNA027534	1
STAM2	sgRNA027535	1
STAM2	sgRNA027536	1
RFPL4AL1	sgRNA075017	1
RFPL4AL1	sgRNA075016	1
RFPL4AL1	sgRNA075019	1
RFPL4AL1	sgRNA075018	1
DCT	sgRNA004588	1
DCT	sgRNA004585	1
DCT	sgRNA004586	1
DCT	sgRNA004587	1
ZNF582	sgRNA061912	1
ZNF582	sgRNA061910	1
ZNF582	sgRNA061911	1
ZNF582	sgRNA061909	1
CYBB	sgRNA004315	1
CYBB	sgRNA004314	1
CYBB	sgRNA004313	1
CYBB	sgRNA004316	1
DEFB127	sgRNA061021	1
DEFB127	sgRNA061024	1
DEFB127	sgRNA061022	1
DEFB127	sgRNA061023	1
CMTR2	sgRNA043361	1
CMTR2	sgRNA043360	1
CMTR2	sgRNA043359	1
CMTR2	sgRNA043362	1
MBD3L1	sgRNA055047	1
MBD3L1	sgRNA055050	1
MBD3L1	sgRNA055049	1
MBD3L1	sgRNA055048	1
TBC1D3B	sgRNA072729	1
TBC1D3B	sgRNA072731	1
TBC1D3B	sgRNA072730	1
TBC1D3B	sgRNA072732	1
FAM83D	sgRNA051780	1
FAM83D	sgRNA051779	1
FAM83D	sgRNA051782	1
FAM83D	sgRNA051781	1
GRK4	sgRNA007635	1
GRK4	sgRNA007634	1
GRK4	sgRNA007636	1
GRK4	sgRNA007633	1
UBR3	sgRNA059820	1
UBR3	sgRNA059818	1
UBR3	sgRNA059817	1
UBR3	sgRNA059819	1
GRIN2A	sgRNA007760	1
GRIN2A	sgRNA007758	1
GRIN2A	sgRNA007757	1
GRIN2A	sgRNA007759	1
BTBD6	sgRNA055317	1
BTBD6	sgRNA055315	1
BTBD6	sgRNA055316	1
BTBD6	sgRNA055318	1
SLC2A1	sgRNA017460	1
SLC2A1	sgRNA017459	1
SLC2A1	sgRNA017457	1
SLC2A1	sgRNA017458	1
UTP18	sgRNA037783	1
UTP18	sgRNA037785	1
UTP18	sgRNA037784	1
UTP18	sgRNA037786	1
QRICH2	sgRNA052856	1
QRICH2	sgRNA052858	1
QRICH2	sgRNA052857	1
QRICH2	sgRNA052855	1
CEP83	sgRNA037924	1
CEP83	sgRNA037923	1
CEP83	sgRNA037925	1
CEP83	sgRNA037926	1
ZBTB18	sgRNA028200	1
ZBTB18	sgRNA028198	1
ZBTB18	sgRNA028197	1
ZBTB18	sgRNA028199	1
FKBP9	sgRNA030771	1
FKBP9	sgRNA030772	1
FKBP9	sgRNA030774	1
FKBP9	sgRNA030773	1
OR52M1	sgRNA058201	1
OR52M1	sgRNA058202	1
OR52M1	sgRNA058204	1
OR52M1	sgRNA058203	1
ANTXR2	sgRNA058014	1
ANTXR2	sgRNA058013	1
ANTXR2	sgRNA058015	1
ANTXR2	sgRNA058016	1
CTCF	sgRNA028850	1
CTCF	sgRNA028848	1
CTCF	sgRNA028847	1
CTCF	sgRNA028849	1
LSM1	sgRNA035903	1
LSM1	sgRNA035906	1
LSM1	sgRNA035904	1
LSM1	sgRNA035905	1
MGAT4A	sgRNA030754	1
MGAT4A	sgRNA030753	1
MGAT4A	sgRNA030751	1
MGAT4A	sgRNA030752	1
GPR68	sgRNA021306	1
GPR68	sgRNA021305	1
GPR68	sgRNA021307	1
GPR68	sgRNA021308	1
SMARCC1	sgRNA017758	1
SMARCC1	sgRNA017760	1
SMARCC1	sgRNA017759	1
SMARCC1	sgRNA017757	1
RNF17	sgRNA044085	1
RNF17	sgRNA044086	1
RNF17	sgRNA044083	1
RNF17	sgRNA044084	1
CNFN	sgRNA053723	1
CNFN	sgRNA053724	1
CNFN	sgRNA053725	1
CNFN	sgRNA053726	1
ARHGAP8	sgRNA033567	1
ARHGAP8	sgRNA033569	1
ARHGAP8	sgRNA033570	1
ARHGAP8	sgRNA033568	1
UGT1A10	sgRNA040260	1
UGT1A10	sgRNA040259	1
UGT1A10	sgRNA040261	1
UGT1A10	sgRNA040262	1
RBM15B	sgRNA036712	1
RBM15B	sgRNA036714	1
RBM15B	sgRNA036711	1
RBM15B	sgRNA036713	1
UBE2T	sgRNA036435	1
UBE2T	sgRNA036436	1
UBE2T	sgRNA036438	1
UBE2T	sgRNA036437	1
ANKRD39	sgRNA038218	1
ANKRD39	sgRNA038217	1
ANKRD39	sgRNA038216	1
ANKRD39	sgRNA038215	1
RPL13	sgRNA016346	1
RPL13	sgRNA016348	1
RPL13	sgRNA016347	1
RPL13	sgRNA016345	1
GOLGA6L1	sgRNA067491	1
GOLGA6L1	sgRNA067490	1
GOLGA6L1	sgRNA067492	1
GOLGA6L1	sgRNA067489	1
ADCY2	sgRNA000282	1
ADCY2	sgRNA000284	1
ADCY2	sgRNA000283	1
ADCY2	sgRNA000281	1
WFDC10A	sgRNA061006	1
WFDC10A	sgRNA061005	1
WFDC10A	sgRNA061007	1
WFDC10A	sgRNA061008	1
TUFT1	sgRNA019737	1
TUFT1	sgRNA019740	1
TUFT1	sgRNA019738	1
TUFT1	sgRNA019739	1
C5orf47	sgRNA060163	1
C5orf47	sgRNA060161	1
C5orf47	sgRNA060164	1
C5orf47	sgRNA060162	1
REEP2	sgRNA038447	1
REEP2	sgRNA038448	1
REEP2	sgRNA038450	1
REEP2	sgRNA038449	1
ARIH2	sgRNA028041	1
ARIH2	sgRNA028042	1
ARIH2	sgRNA028043	1
ARIH2	sgRNA028044	1
IER5	sgRNA038332	1
IER5	sgRNA038334	1
IER5	sgRNA038331	1
IER5	sgRNA038333	1
AASDHPPT	sgRNA046930	1
AASDHPPT	sgRNA046927	1
AASDHPPT	sgRNA046928	1
AASDHPPT	sgRNA046929	1
COX7C	sgRNA003739	1
COX7C	sgRNA003738	1
COX7C	sgRNA003737	1
COX7C	sgRNA003740	1
METTL13	sgRNA039121	1
METTL13	sgRNA039122	1
METTL13	sgRNA039120	1
METTL13	sgRNA039119	1
ENAH	sgRNA043208	1
ENAH	sgRNA043210	1
ENAH	sgRNA043207	1
ENAH	sgRNA043209	1
PARD3B	sgRNA057986	1
PARD3B	sgRNA057988	1
PARD3B	sgRNA057987	1
PARD3B	sgRNA057985	1
OR2B6	sgRNA034762	1
OR2B6	sgRNA034759	1
OR2B6	sgRNA034760	1
OR2B6	sgRNA034761	1
FAM160B1	sgRNA046264	1
FAM160B1	sgRNA046266	1
FAM160B1	sgRNA046263	1
FAM160B1	sgRNA046265	1
IRX1	sgRNA049123	1
IRX1	sgRNA049126	1
IRX1	sgRNA049124	1
IRX1	sgRNA049125	1
SLC16A8	sgRNA033095	1
SLC16A8	sgRNA033097	1
SLC16A8	sgRNA033098	1
SLC16A8	sgRNA033096	1
VPS13C	sgRNA040707	1
VPS13C	sgRNA040710	1
VPS13C	sgRNA040709	1
VPS13C	sgRNA040708	1
HMGA1	sgRNA008514	1
HMGA1	sgRNA008513	1
HMGA1	sgRNA008516	1
HMGA1	sgRNA008515	1
SNTB1	sgRNA017915	1
SNTB1	sgRNA017916	1
SNTB1	sgRNA017913	1
SNTB1	sgRNA017914	1
HELT	sgRNA071997	1
HELT	sgRNA071998	1
HELT	sgRNA072000	1
HELT	sgRNA071999	1
TIMELESS	sgRNA023400	1
TIMELESS	sgRNA023397	1
TIMELESS	sgRNA023399	1
TIMELESS	sgRNA023398	1
TKT	sgRNA019234	1
TKT	sgRNA019233	1
TKT	sgRNA019235	1
TKT	sgRNA019236	1
RPN2	sgRNA016481	1
RPN2	sgRNA016484	1
RPN2	sgRNA016482	1
RPN2	sgRNA016483	1
MECR	sgRNA037810	1
MECR	sgRNA037809	1
MECR	sgRNA037808	1
MECR	sgRNA037807	1
GOLPH3	sgRNA047321	1
GOLPH3	sgRNA047320	1
GOLPH3	sgRNA047319	1
GOLPH3	sgRNA047322	1
CCDC65	sgRNA055028	1
CCDC65	sgRNA055027	1
CCDC65	sgRNA055030	1
CCDC65	sgRNA055029	1
TCTEX1D1	sgRNA064654	1
TCTEX1D1	sgRNA064655	1
TCTEX1D1	sgRNA064656	1
TCTEX1D1	sgRNA064653	1
GDPD5	sgRNA051649	1
GDPD5	sgRNA051648	1
GDPD5	sgRNA051650	1
GDPD5	sgRNA051647	1
PPP2R2B	sgRNA014625	1
PPP2R2B	sgRNA014627	1
PPP2R2B	sgRNA014628	1
PPP2R2B	sgRNA014626	1
BTNL2	sgRNA044135	1
BTNL2	sgRNA044136	1
BTNL2	sgRNA044138	1
BTNL2	sgRNA044137	1
FBXO44	sgRNA056560	1
FBXO44	sgRNA056557	1
FBXO44	sgRNA056559	1
FBXO44	sgRNA056558	1
CHST11	sgRNA037245	1
CHST11	sgRNA037243	1
CHST11	sgRNA037246	1
CHST11	sgRNA037244	1
ARHGAP30	sgRNA066864	1
ARHGAP30	sgRNA066862	1
ARHGAP30	sgRNA066863	1
ARHGAP30	sgRNA066861	1
NRBP2	sgRNA069157	1
NRBP2	sgRNA069158	1
NRBP2	sgRNA069159	1
NRBP2	sgRNA069160	1
SDHAF3	sgRNA044826	1
SDHAF3	sgRNA044824	1
SDHAF3	sgRNA044825	1
SDHAF3	sgRNA044823	1
SYT14	sgRNA066683	1
SYT14	sgRNA066681	1
SYT14	sgRNA066682	1
SYT14	sgRNA066684	1
CSF3	sgRNA004032	1
CSF3	sgRNA004031	1
CSF3	sgRNA004029	1
CSF3	sgRNA004030	1
BNC2	sgRNA040583	1
BNC2	sgRNA040585	1
BNC2	sgRNA040586	1
BNC2	sgRNA040584	1
OCM2	sgRNA012990	1
OCM2	sgRNA012989	1
OCM2	sgRNA012992	1
OCM2	sgRNA012991	1
GEN1	sgRNA069962	1
GEN1	sgRNA069961	1
GEN1	sgRNA069964	1
